smiles	valid_action_count	positive_delta_count	positive_action_fraction	best_delta_qed
CC(=O)Nc1ccc(C)c(Br)c1	1	0	0.0	-0.08045672243510904
O=C(O)c1cccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1	1	1	1.0	0.004448721782439935
COC=C(C(=O)OC)c1ccccc1O	2	1	0.5	0.01640701652486265
O=C(O)c1cccc2cc(O)ncc12	2	2	1.0	0.07864758845669606
CCS(=O)(=O)NCCC(=O)O	3	3	1.0	0.07598357040009573
CN(CCCc1cc(-c2ccc(F)cc2)n[nH]1)C(=O)C1CC(O)CN1	2	1	0.5	0.03729882131236195
CNC(=O)c1ccc(O)c(N)c1	2	2	1.0	0.2991562610121941
Nc1cccc(Cl)c1-n1ccc(C(F)(F)F)n1	1	0	0.0	-0.00984902276010824
NCc1ccc(Br)o1	1	0	0.0	-0.1048274421694323
O=C(O)[C@]1(C(F)(F)F)CNC[C@H]1c1ccccc1	1	0	0.0	-0.011399958248175635
NCCn1cnccc1=O	1	0	0.0	-0.04938117726985902
Cc1nn(C(C)C(=O)O)cc1Cl	3	2	0.6666666666666666	0.06865000645523467
NCc1ccc(Br)cc1I	2	0	0.0	-0.014539797416412537
CC(O)c1cnc(C2OCCO2)s1	2	0	0.0	-0.0124591850527207
NCc1ccc(Cl)c(F)c1F	2	1	0.5	0.033067027965299145
O=C(O)CNC(=O)c1cccc(O)c1	5	3	0.6	0.21439865356189958
CS(=O)(=O)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1	2	0	0.0	-0.005357192368139696
Nc1ccnc(Oc2ccccc2Cl)c1	1	0	0.0	-0.019217892713773055
C[C@H](O)c1cc(Cl)ccc1F	3	0	0.0	-0.005438061103469338
Nc1c[nH]c2ccc(Br)cc12	1	0	0.0	-0.08026874271640061
Fc1ccc(Br)c2c1CCCN2	1	0	0.0	-0.06565867478643606
Fc1cc(C2CO2)ccc1Br	1	0	0.0	-0.06715236244123479
CS(=O)(=O)Nc1ccc(Br)cc1	1	0	0.0	-0.1052158194136541
CC(=O)c1c(C)cc(C)cc1O	2	1	0.5	0.026677570214752033
O=C(O)CCNC(=O)Cc1ccccc1	3	3	1.0	0.04830624597011346
O=C(O)c1ccccc1NCc1ccccc1Cl	1	0	0.0	-0.006145101742748849
Nc1ccc(S(N)(=O)=O)c(Cl)c1	1	0	0.0	-0.052541370523662034
Cc1cc(CC(=O)O)n[nH]1	3	3	1.0	0.11269255279792201
Clc1ccccc1CCCN1CCNCC1	1	0	0.0	-0.017371749069306608
CC(C)C(CO)C(=O)O	6	6	1.0	0.11439361526435521
Cc1c(O)cc(N)cc1C(=O)O	2	2	1.0	0.18104518662517444
CC(=O)NCc1cccc(Br)c1	1	0	0.0	-0.09255423409374186
O=C(O)[C@@H]1CNC[C@H]1c1cccc(F)c1	3	3	1.0	0.04545363801045055
Nc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)c(Cl)c1	1	1	1.0	0.014331611927084875
Oc1nn2cc(Br)cnc2c1Br	2	0	0.0	-0.058780385162321425
CC(N)CCc1ccc(O)cc1	2	2	1.0	0.12985870530878607
O=C([O-])[C@@H]1CCCC[C@@H]1n1ccnc1	3	3	1.0	0.06967138045460264
NCc1cc2cc(Br)ccc2[nH]1	2	0	0.0	-0.0388175412711369
Nc1cccc([N+](=O)[O-])c1Br	1	0	0.0	-0.06348098252807854
O=C(NC1(C(=O)O)CCCCCC1)OCC1c2ccccc2-c2ccccc21	1	0	0.0	-0.1990905521139541
O=C(O)Cc1cnc2ccccc2c1O	5	5	1.0	0.13179999672365428
Nc1ccc(C(O)(c2ccc(N)cc2)c2ccc(N)cc2)cc1	2	0	0.0	-0.053934604407948894
CCOC(=O)c1cc(-c2ccc(Cl)cc2)sc1-n1c(C)cc(C=O)c1C	1	1	1.0	0.04635643351031954
O=C(O)c1cn(CCO)nn1	3	3	1.0	0.16172749999889102
Cc1c(Br)cccc1CN	2	0	0.0	-0.08910418975428547
O=S(=O)(Cl)c1ccc(OCc2ccccc2)c(Br)c1	1	1	1.0	0.039786345875924
COC(=O)c1c(F)cc(Br)c(Cl)c1F	1	1	1.0	0.2898502464241163
COc1cnc(C(=O)O)cc1O	2	2	1.0	0.16657858057889308
Cn1c(=O)oc(=O)c2cc(Br)ccc21	1	0	0.0	-0.09466622958255788
Cn1nc(-c2ccccc2)nc1CCN	1	0	0.0	-0.07171588991480793
Sc1nccn1-c1ccc(Cl)cc1	1	1	1.0	4.595317678390831e-05
CCc1cnc(CN)s1	1	0	0.0	-0.08238889132538552
Cc1cc(=O)oc2cc(OCC(=O)N[C@H](C(=O)O)c3ccccc3)ccc12	1	0	0.0	-0.128125365412751
CCC(Nc1c([N+](=O)[O-])cc(CO)c(C)c1[N+](=O)[O-])C(C)O	3	1	0.3333333333333333	0.09011146708321771
NC(CO)Cc1cccc(F)c1	3	3	1.0	0.09428616528249045
CC(NC(=O)c1cc2ccccc2[nH]1)C(=O)O	3	1	0.3333333333333333	0.07229963311158871
NCCC(C(=O)O)c1c[nH]nc1C(F)(F)F	4	3	0.75	0.10104591784311001
NCCCc1cccc(C(F)(F)F)c1	1	0	0.0	-0.08516882174309925
NCC1(CC(N)=O)CC1	1	1	1.0	0.026901693973784835
O=[N+]([O-])c1cccc(I)c1	1	1	1.0	0.012270650282516116
CCOC(=O)c1[nH]c2ccccc2c1CCN	1	1	1.0	0.029862021530455363
NCC12COCCN1CCOC2	1	0	0.0	-0.05959628962255492
O=C(O)C(NCc1ccccc1)c1ccc(C(F)(F)F)cc1	1	0	0.0	-0.057166593425594936
COc1ccc2ccccc2c1CCN	1	0	0.0	-0.08577123639483308
OC(c1ccccc1)(c1ccccc1)c1ccccc1	2	0	0.0	-0.2511831292856726
CC(C)c1noc(-c2cc(Cl)ccc2N)n1	1	0	0.0	-0.019019921564089493
CC1CCC(O)CN1	2	2	1.0	0.08457313533350613
OCCC1CCCCC12OCCO2	3	0	0.0	-0.0058204629525494544
CC(C)=CCCCN	1	0	0.0	-0.04333794801121843
Cc1ccc(S(=O)(=O)Nc2cccc(O)c2)cc1	2	2	1.0	0.04362269827572551
O=C(O)C(Oc1ccccc1)c1ccccc1	1	0	0.0	-0.1035098017562307
Nc1cc(C(=O)O)cc(F)c1O	2	2	1.0	0.2977504929429713
COc1ccc(Br)c2c1NC(=O)C2	1	0	0.0	-0.10049547307020834
O=[N+]([O-])c1cc(C(F)(F)F)ccc1O	2	1	0.5	0.012310915226966368
O=Cc1csc2ccc(Br)cc12	1	0	0.0	-0.05469738594153051
CC(C)(C)OC(=O)N1CC(Oc2ccccc2)(C(=O)O)C1	1	0	0.0	-0.11815771008711873
OCc1cc(-c2ccccc2)[nH]n1	3	2	0.6666666666666666	0.07332156787933175
CS(=O)(=O)c1cccc(C(=O)Nc2ccc(N)cc2Cl)c1	1	0	0.0	-0.010721261882236321
O=C(O)c1cc2[nH]nnc2cc1O	2	2	1.0	0.20539195902432883
CCn1cc(Br)c(CN)n1	1	0	0.0	-0.09468016071097918
CC(Oc1ccc(Cl)cc1)C(=O)O	4	2	0.5	0.051657548897418915
CCNCCC#N	1	1	1.0	0.024898967795909943
N[C@@H]1C[C@]2(C(=O)O)C[C@H]12	1	1	1.0	0.033341894239672265
Oc1ccnc2cc(Cl)c(Br)cc12	3	0	0.0	-0.0058201579497756395
Cc1n[nH]c(O)c1C#N	2	2	1.0	0.1436929601160185
Brc1cccc2c(N3CCNCC3)nccc12	1	0	0.0	-0.05659861900632723
Brc1cccc2c1OCCN2	1	0	0.0	-0.09169886697843976
COc1ccc(N)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1	1	1.0	0.003070279110825358
NCC1CN2CCCN1CC2	1	0	0.0	-0.061097555730618036
CC(C(=O)c1ccccc1)N(C)Cc1ccccc1Cl	1	1	1.0	0.014866836355256208
OB(O)c1cc(F)c(F)cc1Cl	1	1	1.0	0.0811361354150189
CS(=O)(=O)Nc1nc(CC(=O)O)cs1	3	3	1.0	0.03439302913066389
O=C(O)CC1CNC1	3	3	1.0	0.09226013405012956
COC(C)CN	1	0	0.0	-0.05035168286824809
Oc1cnc(Br)nc1	2	1	0.5	0.04905593634118621
CN1CCN(CCCN)CC1	1	0	0.0	-0.03853943342364263
O=C1CCCc2c(Cl)cccc2N1	1	0	0.0	-0.006037046227563514
CC(C)(C)C1CC(O)C(=O)N1	2	2	1.0	0.0876757795798565
Ic1cccc(N2CCCCC2)c1	1	0	0.0	-0.04287974629401026
O=C(O)C1(CF)CC1	1	0	0.0	-0.0562784131817633
O=C(CBr)c1cccnc1	1	1	1.0	0.18577262169371578
N#Cc1ccc(CS(=O)(=O)CC(=O)O)cc1	3	2	0.6666666666666666	0.01614088405605163
O=C(O)c1ccc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1O	2	2	1.0	0.07009243991460923
N#CCC=CCCl	1	1	1.0	0.11910179000071419
Cc1cccc2c1NC(=O)C2CCN	1	0	0.0	-0.011573089527709968
COc1ccccc1I	1	0	0.0	-0.09506025588437339
O=C(Nc1ccc(F)cc1F)c1ccccc1I	1	1	1.0	0.08738159267304146
NCc1cn2cc(Br)ccc2n1	1	0	0.0	-0.11803795077207824
NCCN1CCC2(C1)OCCO2	1	0	0.0	-0.08839517573522171
CCOC(=O)c1[nH]c2ccc(Cl)cc2c1C=O	1	0	0.0	-0.015117374063284061
[N-]=[N+]=NC1CCCC1O	2	0	0.0	-0.056920972653246804
Cn1cc([C@@H]2OCCC[C@H]2C(=O)O)nn1	3	2	0.6666666666666666	0.05412600738697393
NCc1cccnc1	1	0	0.0	-0.07886264515420349
CCOc1ccc(-n2c(S)nnc2-c2ccc(Br)cc2)cc1	1	1	1.0	0.05969271734318904
CN[C@@H]1COc2ccccc2[C@H](O)C1	2	2	1.0	0.0780946439857958
Cc1ccc(N[C@@H]2CC[C@H](C(=O)O)C2)nc1	3	2	0.6666666666666666	0.024091844323960276
COC(=O)c1cc(S(=O)(=O)Cl)ccc1O	2	0	0.0	-0.008148462517094113
Cc1cc(C)c(O)c(N)c1	2	2	1.0	0.21870484426538905
Cc1c(-c2cc(C(F)(F)F)nn2CCCN)cnn1C	1	0	0.0	-0.06544167990518535
CCNCC(O)c1ccc(C)cc1	2	1	0.5	0.06388776216172065
COc1cc(CCN)cc(OC)c1OCC(C)C	1	0	0.0	-0.03185330703394407
COCC1(C(=O)O)CN(C(=O)OC(C)(C)C)CCO1	1	0	0.0	-0.08056753634508074
Cc1ccc(C(=O)O)cc1I	1	0	0.0	-0.10879472751280872
CC(O)CNS(=O)(=O)c1ccc(C(=O)O)cc1	2	2	1.0	0.11130267353783352
CC(C)(Cc1ccccc1)C(=O)O	1	0	0.0	-0.09122943666641381
OC1(c2ccc(F)cc2)CC1	2	0	0.0	-0.019549796469742975
