method,step,n,mean,median,q1,q3,min,max
Exhaustive,0,5730,0.7381385689354261,0.756,0.663,0.83,0.035,0.947
Exhaustive,1,4340,0.7282654377880164,0.741,0.654,0.815,0.201,0.947
Exhaustive,2,2296,0.7517809233449464,0.767,0.684,0.836,0.226,0.946
Exhaustive,3,264,0.7733219696969696,0.7955000000000001,0.722,0.849,0.409,0.941
Exhaustive,4,46,0.7384782608695651,0.753,0.645,0.83,0.367,0.924
Exhaustive,5,13,0.687,0.665,0.485,0.855,0.398,0.923
GraphTransPPO,0,5579,0.744675927585586,0.765,0.672,0.834,0.097,0.947
GraphTransPPO,1,4601,0.7155185829167547,0.728,0.639,0.81,0.027,0.947
GraphTransPPO,2,2213,0.7376299141436966,0.752,0.66,0.821,0.226,0.946
GraphTransPPO,3,258,0.755817829457364,0.7785,0.694,0.843,0.237,0.942
GraphTransPPO,4,26,0.726923076923077,0.753,0.629,0.83,0.297,0.92
GraphTransPPO,5,12,0.6978333333333334,0.7505,0.636,0.828,0.335,0.898
PPO,0,9792,0.7180951797385627,0.735,0.64,0.81,0.035,0.947
PPO,1,2200,0.6839750000000007,0.6884999999999999,0.608,0.769,0.201,0.946
PPO,2,642,0.7185654205607469,0.7264999999999999,0.655,0.789,0.084,0.922
PPO,3,49,0.7116734693877551,0.746,0.674,0.788,0.377,0.861
PPO,4,5,0.6682,0.632,0.586,0.83,0.463,0.83
PPO,5,1,0.676,0.676,0.676,0.676,0.676,0.676
A2C,0,11581,0.7031666522752787,0.715,0.619,0.798,0.035,0.947
A2C,1,832,0.6832656249999994,0.6805000000000001,0.614,0.77,0.293,0.947
A2C,2,236,0.7024788135593226,0.701,0.641,0.757,0.43,0.918
A2C,3,37,0.7023783783783781,0.735,0.641,0.788,0.272,0.857
A2C,4,1,0.653,0.653,0.653,0.653,0.653,0.653
A2C,5,2,0.5675,0.5675,0.504,0.631,0.504,0.631
TD3,0,6589,0.7245076642889674,0.74,0.647,0.817,0.035,0.947
TD3,1,5266,0.6815381693885292,0.69,0.604,0.774,0.175,0.946
TD3,2,707,0.704712871287129,0.728,0.626,0.794,0.08,0.935
TD3,3,98,0.7064285714285717,0.7164999999999999,0.613,0.801,0.272,0.93
TD3,4,20,0.5772499999999999,0.605,0.511,0.651,0.281,0.89
TD3,5,9,0.6805555555555556,0.683,0.607,0.769,0.423,0.911
Greedy,0,0,,,,,,
Greedy,1,6851,0.6769998862939701,0.684938,0.601774,0.764246,0.026656,0.943529
Greedy,2,4044,0.6578345168150344,0.6505125,0.580956,0.755585,0.083637,0.944889
Greedy,3,1386,0.6174920202020193,0.6158855,0.553646,0.694919,0.128321,0.941516
Greedy,4,300,0.6242511033333329,0.6265025,0.563494,0.687137,0.037375,0.931139
Greedy,5,103,0.6212206893203883,0.619589,0.544936,0.731487,0.245306,0.923253
Random,0,0,,,,,,
Random,1,6693,0.6624804555505763,0.669971,0.584323,0.752588,0.026656,0.941937
Random,2,4415,0.6308686142695349,0.632557,0.533462,0.742641,0.068591,0.944889
Random,3,1204,0.6099206528239203,0.6113115,0.519426,0.71193,0.049438,0.941516
Random,4,276,0.5970904275362321,0.604592,0.506451,0.681332,0.104524,0.931139
Random,5,96,0.6011982916666667,0.6048525,0.522209,0.670588,0.239543,0.923253
